Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price
489,2714,3,4,1,1966,Urban,Good,Yes,642879
490,4686,3,1,nan,2017,Suburban,Fair,Yes,error_value
491,1213,nan,1,2,1989,Suburban,excellent,Yes,783082
492,4102,3,3,nan,1917,Rural,Excellent,Yes,314826
493,4634,1,1,3,1908,Downtown,Fair,No,161186
494,nan,nan,1,1,1937,Rural,Fair,No,817469
495,4768,4,4,2,1986,downtown,fair,No,596120
496,1743,nan,2,3,1920,Suburban,poor,Yes,591285
497,nan,1,4,2,2020,downtown,Poor,Yes,nan
498,1581,3,2,1,1964,Suburban,Poor,no,520098
499,955,4,nan,3,1920,Downtown,Poor,No,90491
500,1394,1,1,2,nan,Urban,good,no,error_value
501,1884,4,3,2,2005,Downtown,Excellent,Yes,948607
502,2458,nan,2,2,2022,urban,fair,No,nan
503,3572,4,4,1,1969,Downtown,Excellent,yes,426394
504,2496,5,error_value,3,2018,Downtown,Fair,no,error_value
505,nan,5,3,error_value,1943,Rural,excellent,No,178131
506,1004,4,2,1,1999,Rural,Good,No,95520
507,1714,1,3,1,1927,suburban,Poor,Yes,375063
508,2031,1,3,3,error_value,Rural,Excellent,Yes,684157
509,3940,1,1,1,1916,Downtown,Fair,Yes,638730
510,1323,nan,error_value,1,2022,Rural,Excellent,Yes,835313
511,1428,1,1,1,nan,Downtown,good,Yes,202842
512,633,3,1,1,2021,Urban,Good,Yes,417390
513,2605,5,4,nan,error_value,Downtown,Excellent,No,752858
514,4127,3,nan,1,1902,suburban,poor,Yes,421831
515,2352,1,1,2,1975,Urban,Fair,no,572485
516,4675,3,error_value,1,nan,Suburban,good,Yes,nan
517,3433,1,3,3,1975,suburban,Good,No,635765
518,3784,4,2,2,1965,Suburban,Excellent,No,574532
519,nan,3,2,2,2019,rural,Good,Yes,915885
520,3311,nan,2,2,1945,Suburban,Good,No,500953
521,1750,4,error_value,2,1985,urban,Fair,Yes,227561
522,4012,2,1,nan,1986,Downtown,Poor,yes,964394
523,nan,1,2,1,error_value,Suburban,Fair,Yes,nan
524,3876,nan,3,2,error_value,Urban,poor,yes,340534
525,3986,1,1,nan,error_value,Suburban,Fair,No,584535
526,4084,5,4,2,1984,Downtown,excellent,Yes,250123
527,1896,1,2,1,1910,Urban,good,No,765079
528,4137,4,1,2,1968,Urban,poor,no,477894
529,3830,3,2,3,1998,Downtown,Excellent,No,531018
530,3203,3,2,1,1990,urban,Good,Yes,257358
531,970,2,2,3,2012,Downtown,good,no,866015
532,1853,5,1,1,1965,Urban,Good,yes,566456
533,3283,5,3,1,nan,Urban,Fair,No,189148
534,3331,5,1,1,1930,Downtown,Excellent,Yes,985510
535,857,4,nan,2,1932,downtown,Excellent,Yes,196123
536,error_value,5,1,3,1938,urban,Good,yes,447530
537,1167,nan,4,3,1993,urban,Poor,Yes,602958
538,4968,4,error_value,3,1945,Downtown,Excellent,No,543973
539,1645,1,1,1,1936,Rural,Fair,no,961352
540,4685,5,4,2,2014,Downtown,Poor,yes,60236
541,4219,5,3,1,1991,urban,poor,No,85568
542,3245,1,4,3,1959,Urban,Poor,yes,681615
543,1039,5,nan,2,1930,urban,Poor,Yes,305745
544,3279,1,1,2,nan,Downtown,Excellent,No,422332
545,4636,4,4,2,nan,urban,Good,Yes,535119
546,nan,nan,2,3,2020,Rural,Poor,Yes,328496
547,3008,1,error_value,2,1901,suburban,fair,yes,700009
548,error_value,2,nan,2,2003,Rural,Fair,Yes,309291
549,1424,1,1,nan,error_value,Downtown,Good,Yes,488866
550,3456,5,nan,1,1926,Urban,Excellent,no,453562
551,2081,4,4,2,1998,Downtown,Good,No,730516
552,3824,4,4,2,1901,Suburban,poor,No,105904
553,4985,1,nan,1,2002,downtown,excellent,Yes,981539
554,755,3,1,1,2000,urban,Excellent,Yes,958573
555,2338,2,error_value,1,error_value,Suburban,Poor,yes,328252
556,2444,4,4,3,1957,suburban,Fair,Yes,572247
557,509,5,1,3,1904,Urban,Poor,Yes,839285
558,3371,5,2,1,1951,Urban,good,Yes,396300
559,1297,3,3,2,1944,urban,Poor,no,316320
560,1515,4,1,1,1984,downtown,Fair,Yes,674747
561,error_value,1,4,3,1992,rural,Poor,No,469136
562,error_value,5,3,2,1919,downtown,Good,Yes,235922
563,3636,3,3,3,1960,downtown,Good,no,187901
564,2693,4,nan,2,1937,rural,Fair,Yes,173225
565,nan,4,4,3,1919,Urban,Good,No,543406
566,error_value,4,1,2,2013,Urban,good,no,error_value
567,4425,4,4,2,nan,Rural,poor,yes,271738
568,4500,4,3,2,1901,Rural,excellent,yes,954890
569,2133,5,4,2,2020,downtown,Good,no,685181
570,2652,3,1,3,1931,Suburban,Good,Yes,910359
571,error_value,4,1,3,1925,rural,fair,yes,528076
572,884,2,2,2,1969,Downtown,Fair,Yes,954610
573,904,2,1,2,1940,Suburban,Poor,no,292726
574,2500,3,1,3,2020,urban,Poor,Yes,nan
575,3256,error_value,4,2,nan,urban,Good,No,771202
576,2168,1,4,2,nan,Downtown,Excellent,No,479059
577,1960,1,3,2,1900,downtown,Excellent,Yes,756168
578,4136,2,2,1,1950,Rural,Poor,No,473759
579,3224,1,4,2,nan,Urban,Fair,Yes,515996
580,4678,5,1,1,nan,Downtown,Good,Yes,56611
581,2548,4,3,2,1918,urban,Good,no,400386
582,4646,2,4,3,1911,Urban,Excellent,No,921044
583,1216,3,2,1,1947,rural,poor,no,883334
584,nan,3,2,1,1924,Suburban,Excellent,No,821812
585,2581,error_value,3,2,1956,rural,Excellent,No,345187
586,error_value,2,nan,2,2014,Downtown,poor,yes,nan
587,2074,1,3,1,1934,Rural,Fair,No,909299
588,749,1,3,3,1975,rural,Good,Yes,389233
589,1173,5,3,3,1993,urban,Fair,Yes,895177
590,2665,5,1,2,1904,rural,poor,no,error_value
591,1270,1,1,3,1997,Downtown,Poor,No,240191
592,4462,3,4,3,1921,suburban,good,No,716933
593,4863,3,2,2,2002,Rural,Fair,No,726769
594,2484,5,1,3,1976,Rural,Good,No,922402
595,1577,4,1,2,error_value,Suburban,excellent,Yes,336608
596,735,1,1,1,1946,Downtown,excellent,yes,299220
597,888,5,4,2,1953,downtown,Excellent,yes,486056
598,3537,5,3,1,1902,Rural,Fair,No,692811
599,2348,1,4,1,2023,Urban,Excellent,No,594950
600,3314,1,2,3,1952,Rural,good,yes,854660
601,3874,3,2,error_value,nan,Suburban,Fair,no,error_value
602,3778,4,2,3,1930,Suburban,good,No,712746
603,1752,4,2,2,1968,suburban,Poor,No,843294
604,4481,1,1,3,1987,rural,Fair,Yes,614396
605,2622,2,1,1,2003,Rural,Good,no,error_value
606,2650,5,4,nan,2017,Downtown,Good,Yes,518239
607,1829,5,3,3,1932,Urban,Fair,No,294437
608,1858,1,error_value,2,1971,rural,poor,No,nan
609,nan,2,4,2,1987,Downtown,Fair,yes,916572
610,error_value,3,error_value,1,1949,rural,excellent,no,732561
611,1831,1,1,nan,1983,downtown,Excellent,No,905010
612,4844,1,3,nan,error_value,downtown,poor,No,99966
613,4761,5,3,2,1915,urban,Good,Yes,235846
614,1858,1,3,1,2013,rural,Good,no,322530
615,3677,nan,4,3,2015,Downtown,good,No,651516
616,2628,1,1,1,1975,Suburban,fair,No,196297
617,2680,5,1,nan,1976,Suburban,Fair,No,459909
618,error_value,3,3,2,2008,Suburban,Poor,No,384341
619,3972,3,2,1,2005,Urban,excellent,Yes,93021
620,3332,1,3,3,1938,downtown,good,Yes,431059
621,4079,5,4,2,1988,Urban,excellent,no,199333
622,3531,nan,3,error_value,1945,rural,Fair,no,470594
623,4664,nan,3,3,1995,Rural,Fair,Yes,nan
624,3093,3,4,2,1987,Downtown,Fair,No,826934
625,4800,5,3,1,2011,Suburban,Excellent,no,136755
626,4318,5,1,2,nan,downtown,Poor,no,979441
627,4638,1,2,2,1943,Downtown,poor,No,116330
628,4323,4,3,nan,1908,Downtown,Fair,No,752726
629,4542,3,4,nan,2003,Urban,Good,No,908754
630,2406,nan,nan,3,2013,Rural,Excellent,No,938750
631,1260,5,4,2,1986,downtown,Fair,No,619601
632,nan,5,nan,2,1949,downtown,Excellent,Yes,error_value
633,1399,5,2,3,1976,Downtown,excellent,yes,807071
634,nan,4,3,error_value,1959,urban,poor,no,339176
635,3447,5,1,3,2022,Urban,Fair,no,535179
636,2219,1,3,1,1995,Urban,Poor,no,198430
637,780,5,4,2,2013,Downtown,Fair,No,898142
638,3766,2,4,3,1914,Suburban,Excellent,Yes,nan
639,2387,4,2,2,1935,suburban,Poor,Yes,398301
640,3766,2,2,1,2012,Suburban,Excellent,yes,492037
641,1166,5,error_value,1,1962,Rural,Fair,yes,nan
642,nan,1,3,1,1968,downtown,good,No,325333
643,error_value,3,4,1,nan,suburban,Poor,no,519965
644,nan,5,2,nan,error_value,Suburban,Poor,No,581536
645,4656,1,1,1,1940,Suburban,Excellent,Yes,error_value
646,3622,4,4,1,1973,Downtown,Excellent,No,nan
647,4400,2,2,3,1923,Suburban,Good,No,975554
648,1023,2,4,1,error_value,Suburban,Poor,Yes,nan
649,2893,2,1,3,1948,Downtown,Fair,Yes,886048
650,3617,4,1,1,nan,Rural,Fair,yes,497695
651,error_value,nan,4,1,1906,Urban,poor,Yes,415863
652,nan,4,3,3,1903,Suburban,Poor,Yes,221955
653,2253,2,4,1,1989,Urban,poor,No,607343
654,2796,nan,2,2,nan,rural,Good,no,774091
655,2761,3,3,nan,nan,Rural,Fair,yes,428824
656,2786,4,2,1,1954,Suburban,fair,no,319594
657,4702,4,4,nan,1915,Downtown,excellent,no,183997
658,nan,1,3,3,1998,Rural,Excellent,No,523267
659,4643,1,2,1,1989,Urban,Poor,No,100272
660,4144,4,4,error_value,nan,Urban,excellent,Yes,55310
661,4932,nan,nan,3,1928,urban,good,No,81817
662,2555,3,3,3,1922,Urban,Fair,No,558350
663,1776,1,4,nan,2016,Rural,Fair,No,536160
664,3266,2,error_value,1,nan,Suburban,Excellent,Yes,487744
665,802,5,2,nan,1978,Suburban,Poor,no,error_value
666,1138,1,error_value,3,1948,Urban,Excellent,Yes,132641
667,555,2,4,error_value,1932,Suburban,Poor,yes,789443
668,1025,2,4,nan,1924,urban,Good,Yes,781670
669,4623,3,1,1,1920,Urban,fair,yes,589745
670,2625,3,3,2,1916,downtown,Good,No,92311
671,error_value,5,error_value,2,1922,Rural,Fair,Yes,971484
672,864,2,4,3,1956,Rural,good,Yes,201958
673,2146,2,4,3,2006,Urban,Excellent,yes,520328
674,nan,nan,4,2,1980,Rural,Good,yes,494093
675,3297,1,2,2,nan,Suburban,good,Yes,697861
676,2031,1,4,2,1913,Urban,Excellent,No,409571
677,3845,4,2,1,1992,Downtown,Fair,Yes,872613
678,2406,3,4,1,1919,suburban,Fair,No,214334
679,3586,4,3,1,1929,Downtown,Excellent,no,968451
680,2575,3,1,2,1918,Downtown,good,Yes,443238
681,1213,nan,nan,2,1952,Rural,Good,No,error_value
682,1562,nan,4,1,2002,Rural,Good,No,653810
683,2476,5,4,1,1955,Urban,Poor,no,213394
684,1796,3,4,error_value,1976,rural,Fair,Yes,98929
685,625,2,nan,error_value,1981,Downtown,Good,Yes,655984
686,4096,1,4,1,1922,Downtown,Fair,Yes,nan
687,3783,1,nan,2,1961,Suburban,Good,Yes,846240
688,2103,4,2,2,2009,downtown,Excellent,Yes,669436
689,nan,nan,1,3,1932,Urban,Excellent,Yes,496098
690,732,3,1,2,2002,Urban,Fair,Yes,858157
691,nan,1,3,2,error_value,Rural,fair,No,384678
692,nan,nan,2,1,1917,Rural,Excellent,no,352094
693,2658,2,3,1,1972,Rural,poor,Yes,794314
694,4706,nan,2,3,1932,Urban,Excellent,No,133576
695,nan,5,4,3,1931,Downtown,Good,yes,70557
696,4507,1,2,2,nan,Rural,Poor,Yes,596113
697,2972,1,nan,error_value,1953,suburban,excellent,Yes,321142
698,3160,1,2,3,1916,Rural,Poor,No,86080
699,3239,nan,1,error_value,1918,Urban,Poor,Yes,error_value
700,error_value,5,error_value,3,1990,Rural,Poor,Yes,238869
701,4014,3,4,2,1969,Downtown,Fair,Yes,721162
702,2475,2,4,1,1998,Rural,excellent,yes,nan
703,2862,4,nan,3,2019,urban,Fair,no,543844
704,nan,3,2,1,2000,Urban,Fair,Yes,616695
705,4312,5,3,3,1933,Suburban,Good,No,170283
706,3948,1,3,3,1983,urban,Good,no,63338
707,1812,5,4,1,1924,suburban,Poor,Yes,650577
708,1960,2,1,1,1967,Downtown,poor,Yes,514736
709,3209,4,3,1,1973,Urban,Good,No,724255
710,2824,4,2,2,1973,rural,Good,No,228982
711,2233,nan,3,3,nan,downtown,excellent,No,967461
712,2105,3,4,2,1984,Rural,poor,No,159367
713,3063,3,1,1,1910,Rural,poor,Yes,nan
714,3921,4,3,3,1990,rural,good,No,970958
715,4017,4,3,2,1915,downtown,excellent,no,691774
716,2897,1,4,3,nan,Downtown,Good,No,398684
717,4235,3,1,2,1960,Urban,Good,No,544775
718,3370,2,error_value,1,1993,rural,fair,Yes,788497
719,1660,3,4,2,2012,Suburban,Poor,Yes,493853
720,742,1,2,3,1979,urban,Excellent,yes,830343
721,3090,4,3,3,1906,Downtown,Fair,No,710709
722,1563,4,2,3,1915,Suburban,Poor,No,961848
723,4824,error_value,3,3,1998,Downtown,Good,yes,876395
724,3095,2,3,1,2021,Suburban,Excellent,Yes,450966
725,1419,4,2,2,1915,Urban,Poor,No,nan
726,nan,5,4,nan,1939,Suburban,good,Yes,727823
727,nan,error_value,4,1,1911,urban,Fair,No,error_value
728,4670,5,3,1,1934,Downtown,excellent,No,764152
729,503,1,4,3,2012,Suburban,Poor,no,850118
730,1145,1,3,3,1920,Rural,Fair,no,549555
731,617,4,nan,3,1949,rural,Good,No,113528
732,error_value,3,3,2,1942,Downtown,good,No,error_value
733,3051,error_value,4,3,1999,Suburban,Poor,yes,558907
734,4789,nan,nan,2,nan,rural,Good,Yes,334931
735,1346,error_value,2,3,1916,Urban,Excellent,Yes,982280
736,3262,2,1,3,1931,Suburban,Poor,No,427757
737,1641,4,2,1,1940,Suburban,Fair,Yes,762787
738,2310,3,2,1,1905,Rural,Poor,No,834429
739,1223,nan,3,nan,1987,urban,poor,No,154887
740,724,3,error_value,2,1926,Urban,Fair,No,111086
741,4708,3,1,error_value,nan,Urban,Good,no,938663
742,error_value,1,1,3,1924,Suburban,fair,Yes,305494
743,4915,nan,4,2,1965,Downtown,Excellent,Yes,558889
744,2073,5,1,3,1908,Suburban,Good,yes,nan
745,2328,nan,4,nan,1991,suburban,Poor,No,327941
746,2417,4,2,2,1952,Rural,good,Yes,317446
747,4734,4,nan,nan,1960,Downtown,Good,yes,506388
748,2526,1,2,1,error_value,Urban,Excellent,Yes,nan
749,4244,4,1,error_value,1902,Rural,Good,No,181980
750,1401,1,1,1,1983,Suburban,Good,Yes,nan
751,2539,5,4,1,nan,downtown,Good,No,523875
752,509,2,2,2,2002,Urban,Poor,Yes,193949
753,760,5,1,3,nan,Urban,good,no,326383
754,2173,3,3,3,error_value,Suburban,Fair,yes,77313
755,2719,3,2,3,1900,Urban,good,Yes,92103
756,2560,3,2,2,2000,Urban,excellent,yes,229480
757,4213,5,2,3,1969,Downtown,Good,No,error_value
758,2119,nan,4,1,nan,Rural,Good,Yes,138771
759,820,nan,3,3,1997,Downtown,Poor,Yes,nan
760,1842,3,2,2,nan,Rural,fair,No,error_value
761,2876,3,nan,3,1978,rural,Good,no,846966
762,nan,3,1,1,2008,Rural,Fair,No,879492
763,3324,2,4,2,1925,Urban,excellent,No,error_value
764,2494,3,1,3,2020,Downtown,Poor,Yes,964863
765,3458,2,error_value,2,nan,Urban,Fair,Yes,660355
766,2538,3,1,2,2021,Suburban,Poor,No,847399
767,nan,5,2,2,1953,Downtown,Good,yes,787351
768,4177,5,1,3,1970,Rural,Excellent,No,901995
769,1618,2,3,nan,1945,urban,Poor,Yes,320804
770,2104,5,4,3,nan,urban,Good,no,nan
771,4527,error_value,4,1,1930,Downtown,Fair,Yes,534091
772,735,5,3,3,1987,Downtown,Excellent,No,179909
773,2469,5,3,1,error_value,Rural,Excellent,No,nan
774,nan,2,4,3,nan,Rural,Fair,Yes,nan
775,nan,4,error_value,2,1928,suburban,Fair,Yes,190688
776,875,5,2,3,error_value,Rural,excellent,yes,nan
777,4030,3,1,2,1995,urban,Poor,no,807496
778,3135,4,4,1,1916,Suburban,Excellent,Yes,229810
779,2070,2,3,3,1913,Suburban,fair,no,325251
780,3060,4,2,2,2003,Suburban,Poor,yes,766764
781,3891,1,4,1,1935,downtown,Good,Yes,668470
782,3465,error_value,3,1,1957,Rural,excellent,no,817441
783,4143,5,4,nan,2011,Suburban,fair,no,928219
784,4350,5,3,1,1923,Downtown,good,Yes,852386
785,1372,nan,4,2,2008,Downtown,Excellent,no,329087
786,nan,4,2,1,1962,Suburban,Excellent,No,90725
787,1814,1,2,1,2017,suburban,Poor,yes,881866
788,3398,5,1,2,1990,Urban,Fair,No,922183
789,577,4,4,1,1924,Suburban,Good,yes,584398
790,3121,error_value,1,1,1958,Urban,Excellent,Yes,548864
791,4727,5,4,1,1931,Suburban,Poor,No,328606
792,nan,1,3,1,2015,Suburban,good,yes,391376
793,1565,1,3,2,1981,Rural,good,No,759441
794,2636,5,1,nan,2009,Suburban,Excellent,yes,error_value
795,2949,error_value,4,2,1917,Suburban,good,No,640855
796,2843,5,nan,1,1936,urban,excellent,No,532517
797,2363,5,2,1,1925,Urban,poor,no,756584
798,1818,3,1,1,nan,Rural,poor,No,439569
799,4097,3,1,1,2023,Suburban,Good,No,892495
800,4262,nan,3,2,error_value,suburban,excellent,yes,163394
801,2690,error_value,1,nan,1963,Urban,fair,Yes,891672
802,nan,2,error_value,2,1971,Downtown,Poor,no,917784
803,3212,5,3,3,1919,Downtown,Excellent,yes,198940
804,2692,3,nan,1,1953,downtown,Excellent,no,393133
805,nan,2,2,1,2005,urban,Excellent,No,72222
806,3554,1,1,2,1985,Urban,Good,yes,129794
807,4533,5,1,3,1982,downtown,fair,Yes,638212
808,nan,4,error_value,error_value,1929,Downtown,good,No,674142
809,4187,5,nan,error_value,error_value,Suburban,poor,No,914945
810,2651,nan,4,1,1991,Urban,Good,no,834326
811,error_value,3,2,1,error_value,urban,excellent,No,891081
812,3610,error_value,1,2,2006,Downtown,Good,no,415130
813,2470,3,4,2,1962,Downtown,Excellent,No,818103
814,697,nan,4,1,1910,Rural,fair,yes,error_value
815,3126,4,3,1,1930,Urban,good,No,283127
816,1702,5,2,2,1948,Rural,Good,No,554434
817,2535,3,3,1,2011,Suburban,good,Yes,191295
818,977,5,4,1,2002,Rural,excellent,No,229238
819,1754,2,4,2,1999,Downtown,excellent,No,89369
820,1422,3,4,1,1993,Urban,Good,Yes,922811
821,919,error_value,3,1,1986,Urban,Good,No,905824
822,2704,3,2,3,1918,rural,fair,yes,error_value
823,3097,5,nan,2,1911,Rural,fair,No,nan
824,1620,1,3,3,nan,Suburban,Poor,Yes,nan
825,3568,3,nan,3,1930,Suburban,Fair,yes,760595
826,1450,nan,3,nan,1942,Downtown,Fair,Yes,nan
827,2836,2,4,1,2000,downtown,Fair,No,97922
828,2743,error_value,1,1,nan,downtown,Excellent,No,543614
829,3145,2,1,3,error_value,Rural,Fair,Yes,867187
830,2357,3,error_value,3,1928,Rural,Fair,Yes,695214
831,2365,5,nan,3,2013,Urban,Good,no,error_value
832,3412,5,2,1,2006,Downtown,Excellent,No,63672
833,nan,4,2,nan,error_value,Rural,Poor,no,526684
834,3728,nan,1,3,2007,Urban,Poor,No,178145
835,4219,1,3,2,1901,Downtown,Fair,No,752356
836,3728,5,3,2,1983,suburban,Poor,yes,910527
837,2871,4,2,1,nan,Suburban,Poor,no,nan
838,3391,3,1,2,2015,Rural,Poor,Yes,118835
839,4256,3,4,2,1903,urban,Fair,no,251457
840,4725,5,3,2,1985,suburban,Poor,yes,nan
841,594,2,nan,1,nan,Urban,Fair,Yes,297795
842,3174,3,3,2,1937,Urban,Good,no,454271
843,2455,nan,3,1,1922,Suburban,Good,yes,399738
844,error_value,4,4,3,1958,urban,Poor,Yes,996931
845,2334,5,error_value,2,1989,Suburban,Good,Yes,691204
846,2616,3,4,1,2014,Rural,Fair,Yes,956740
847,4606,4,nan,2,1974,Downtown,Good,No,error_value
848,3825,5,3,3,1927,downtown,poor,Yes,901098
849,3419,1,2,1,2019,Rural,fair,No,245346
850,nan,4,error_value,1,nan,suburban,excellent,Yes,954726
851,3705,1,1,nan,2022,Suburban,Fair,No,323010
852,nan,2,3,3,nan,Suburban,Good,No,nan
853,nan,nan,1,3,1928,suburban,excellent,no,nan
854,2849,1,1,3,nan,rural,Fair,yes,174714
855,nan,3,1,1,2000,Downtown,Excellent,No,605623
856,2943,nan,3,error_value,1917,Urban,excellent,No,100547
857,2765,2,2,2,1954,Urban,Excellent,yes,207234
858,2688,4,nan,3,1949,Downtown,Fair,No,794809
859,3505,4,2,1,1913,Rural,Good,yes,730047
860,3781,4,1,nan,2017,urban,Fair,Yes,935188
861,nan,2,3,3,1973,Downtown,Good,No,323139
862,2139,4,1,nan,1998,Rural,Fair,yes,499704
863,1327,3,2,2,1908,Urban,fair,Yes,52631
864,3230,error_value,nan,1,1998,Suburban,fair,Yes,187039
865,4031,3,3,2,1910,suburban,Good,No,924726
866,4951,3,1,2,nan,Rural,fair,Yes,399422
867,3435,1,4,1,2007,Suburban,excellent,Yes,638759
868,4376,3,4,1,1975,Rural,Fair,Yes,349260
869,error_value,nan,2,1,error_value,Downtown,Excellent,no,928548
870,error_value,1,3,2,1952,downtown,poor,Yes,477443
871,3556,3,1,error_value,1938,Urban,Poor,No,707302
872,1103,5,1,2,1977,Rural,Good,Yes,621952
873,3949,3,nan,1,1955,Urban,Good,No,733429
874,nan,2,2,error_value,1927,urban,poor,no,137342
875,nan,4,1,2,1974,Downtown,Fair,No,64407
876,3867,3,1,3,1938,Urban,Fair,Yes,163926
877,3868,4,2,1,1924,Suburban,Fair,Yes,371345
878,4297,5,nan,nan,1920,Urban,Poor,Yes,916525
879,2292,3,4,3,error_value,Rural,excellent,no,497564
880,3361,1,2,2,1942,Suburban,good,yes,787341
881,3976,4,1,error_value,1914,Downtown,Excellent,Yes,592166
882,3917,5,error_value,2,nan,Rural,Poor,No,133100
883,2145,1,3,3,1947,Suburban,Excellent,yes,915061
884,1705,1,2,1,1985,Rural,Fair,Yes,498636
885,3530,1,2,2,1920,Suburban,Fair,No,nan
886,3372,error_value,3,nan,nan,rural,Excellent,no,error_value
887,nan,3,error_value,1,2015,rural,Poor,yes,617456
888,2354,3,1,3,2007,Suburban,Excellent,No,300396
889,4521,error_value,3,3,1995,Downtown,Fair,Yes,824769
890,3208,5,2,1,1949,Downtown,fair,Yes,367006
891,error_value,5,1,2,1922,Rural,Poor,Yes,78004
892,1832,5,3,3,nan,Rural,excellent,Yes,856903
893,701,2,1,2,1968,Downtown,Fair,yes,574252
894,4007,5,1,2,1903,downtown,fair,No,666108
895,error_value,3,3,2,1991,Urban,Excellent,No,241239
896,1074,3,1,nan,1977,Downtown,Excellent,yes,676517
897,1036,2,4,2,1971,Rural,Good,no,527044
898,2125,2,3,1,1908,Suburban,Poor,No,nan
899,2622,5,4,error_value,2020,Downtown,Poor,Yes,396113
900,nan,4,nan,2,2014,Urban,Excellent,No,64568
901,3781,nan,1,2,1934,urban,Poor,no,583754
902,nan,1,2,2,2000,urban,Fair,Yes,272129
903,917,3,2,2,1920,Suburban,Excellent,yes,631612
904,4100,1,nan,nan,1957,Downtown,Excellent,Yes,938640
905,1454,3,3,nan,1917,downtown,Excellent,Yes,196539
906,1705,3,1,2,1996,Downtown,Good,Yes,650243
907,4620,2,2,1,1971,Suburban,Poor,Yes,197748
908,2490,2,error_value,3,2014,suburban,good,Yes,nan
909,4072,1,3,3,2012,Rural,fair,No,736874
910,4880,3,1,1,1980,Urban,Poor,Yes,945150
911,4658,1,2,3,1942,Urban,good,No,596938
912,3213,nan,4,error_value,1994,Downtown,Excellent,No,400434
913,2703,1,2,2,1997,Suburban,Good,Yes,127701
914,nan,5,2,2,1905,Suburban,Excellent,No,847115
915,1466,1,3,3,1985,Downtown,Good,no,279164
916,3932,5,4,2,1977,Downtown,Good,no,503035
917,1188,5,nan,3,nan,rural,good,Yes,655266
918,nan,5,2,3,1911,urban,Excellent,No,579148
919,4201,4,4,2,1999,Urban,Good,no,709089
920,841,1,1,2,1911,Urban,Poor,yes,605639
921,2224,1,1,nan,2008,Rural,Poor,No,555920
922,4922,4,nan,2,1965,downtown,poor,No,374888
923,error_value,3,2,nan,1901,downtown,excellent,No,729706
924,2259,error_value,1,2,1914,urban,Excellent,No,956630
925,error_value,1,3,nan,nan,urban,Poor,no,910587
926,1489,nan,4,1,1928,Rural,Poor,Yes,171449
927,nan,4,4,error_value,1980,Suburban,Poor,No,650988
928,2982,3,nan,nan,1995,suburban,Fair,yes,809774
929,nan,3,3,3,1906,urban,Poor,No,843387
930,1222,3,3,2,1993,rural,Good,yes,307571
931,3889,4,3,2,1927,urban,Fair,Yes,513506
932,nan,5,3,1,1913,Suburban,fair,Yes,487509
933,3217,5,error_value,3,1943,Urban,Excellent,No,766696
934,2832,2,nan,3,1929,Suburban,Good,no,858094
935,3876,5,3,3,1980,Suburban,Excellent,No,580696
936,2000,5,nan,2,nan,Suburban,Excellent,No,745763
937,785,3,3,error_value,2009,downtown,good,No,313369
938,3995,3,3,1,1969,Downtown,excellent,Yes,979700
939,2565,2,4,3,2014,Urban,Good,Yes,513002
940,1268,1,4,1,1987,Suburban,Good,Yes,196444
941,3557,nan,3,error_value,1905,downtown,excellent,no,nan
942,4789,2,4,3,nan,Urban,Poor,no,591567
943,2661,error_value,error_value,1,1981,urban,Excellent,Yes,160401
944,error_value,4,error_value,nan,1987,Urban,Fair,No,276801
945,1446,2,4,3,2000,urban,Excellent,No,821668
946,3835,2,4,3,2019,urban,Good,Yes,553575
947,4650,2,4,2,1923,rural,fair,yes,error_value
948,1981,5,nan,1,2001,Suburban,good,no,219259
949,2401,4,nan,3,1933,Urban,Poor,No,297145
950,3951,2,1,1,1939,rural,poor,Yes,360625
951,4564,3,3,1,1946,Suburban,fair,no,733835
952,554,3,3,nan,1978,Downtown,poor,yes,94552
953,2323,5,2,3,1974,urban,Poor,Yes,249041
954,3962,nan,1,3,1985,Rural,excellent,Yes,257606
955,3579,1,3,1,2017,downtown,Excellent,No,804965
956,1332,1,nan,2,1923,rural,poor,yes,nan
957,4908,1,4,1,1964,Suburban,poor,Yes,450074
958,3306,5,1,nan,1917,suburban,Excellent,No,779846
959,2990,5,2,1,1943,downtown,poor,Yes,nan
960,827,5,2,1,1975,Rural,Poor,No,337312
961,3810,3,error_value,1,1956,urban,Good,No,606387
962,3800,nan,2,3,2006,urban,Poor,no,252252
963,4175,3,1,2,1927,Downtown,Fair,Yes,nan
964,3554,1,4,2,2003,downtown,good,Yes,373599
965,2643,nan,nan,1,2023,downtown,Fair,No,628528
966,1811,1,error_value,3,1970,rural,poor,No,386940
967,3691,2,2,3,1922,Urban,Excellent,No,891024
968,3038,error_value,4,2,nan,urban,good,Yes,835034
969,4483,4,4,3,1933,urban,excellent,No,434325
970,664,4,3,2,1910,Downtown,good,No,302051
971,4777,4,4,2,1985,Urban,excellent,no,151611
972,1322,2,4,2,2005,Suburban,Good,Yes,632334
973,error_value,2,4,3,1934,downtown,Good,No,824756
974,4925,4,2,2,2015,Urban,fair,Yes,66488
975,1274,nan,error_value,2,1992,rural,Excellent,Yes,239913
976,2698,5,1,1,nan,Downtown,Fair,No,430665
977,3656,4,2,nan,1927,Suburban,Fair,No,967899
978,4742,nan,4,error_value,2022,suburban,Excellent,No,758029
979,4195,3,4,1,nan,Rural,Good,Yes,716205
